;;;t;V in;V out
;;;-0,00002518;4,96;
;;;-0,00002516;5;
;;;-0,00002514;4,96;
;;;-0,00002512;4,96;
;;;-0,0000251;4,92;
;;;-0,00002508;4,92;
;;;-0,00002506;4,96;
;;;-0,00002504;5;
;;;-0,00002502;4,96;
;;;-0,000025;5;
;;;-0,00002498;4,96;
;;;-0,00002496;4,96;
;;;-0,00002494;4,96;
;;;-0,00002492;4,96;
;;;-0,0000249;5;
;;;-0,00002488;4,96;
;;;-0,00002486;4,96;
;;;-0,00002484;4,96;
;;;-0,00002482;4,96;
;;;-0,0000248;4,96;
;;;-0,00002478;4,92;
;;;-0,00002476;4,96;
;;;-0,00002474;4,92;
;;;-0,00002472;4,96;
;;;-0,0000247;4,96;
;;;-0,00002468;4,96;
;;;-0,00002466;4,92;
;;;-0,00002464;5;
;;;-0,00002462;4,96;
;;;-0,0000246;4,96;
;;;-0,00002458;4,92;
;;;-0,00002456;4,92;
;;;-0,00002454;4,96;
;;;-0,00002452;4,96;
;;;-0,0000245;4,96;
;;;-0,00002448;4,96;
;;;-0,00002446;4,92;
;;;-0,00002444;5;
;;;-0,00002442;4,96;
;;;-0,0000244;4,92;
;;;-0,00002438;4,96;
;;;-0,00002436;4,96;
;;;-0,00002434;4,96;
;;;-0,00002432;4,96;
;;;-0,0000243;4,92;
;;;-0,00002428;4,92;
;;;-0,00002426;4,96;
;;;-0,00002424;4,96;
;;;-0,00002422;4,96;
;;;-0,0000242;4,96;
;;;-0,00002418;4,92;
;;;-0,00002416;4,92;
;;;-0,00002414;4,92;
;;;-0,00002412;4,96;
;;;-0,0000241;4,96;
;;;-0,00002408;4,96;
;;;-0,00002406;4,92;
;;;-0,00002404;4,96;
;;;-0,00002402;5;
;;;-0,000024;4,92;
;;;-0,00002398;4,92;
;;;-0,00002396;4,96;
;;;-0,00002394;4,96;
;;;-0,00002392;4,96;
;;;-0,0000239;4,96;
;;;-0,00002388;4,92;
;;;-0,00002386;4,96;
;;;-0,00002384;4,96;
;;;-0,00002382;4,96;
;;;-0,0000238;4,92;
;;;-0,00002378;4,92;
;;;-0,00002376;4,96;
;;;-0,00002374;4,92;
;;;-0,00002372;4,92;
;;;-0,0000237;4,92;
;;;-0,00002368;4,92;
;;;-0,00002366;4,92;
;;;-0,00002364;4,92;
;;;-0,00002362;4,96;
;;;-0,0000236;4,96;
;;;-0,00002358;4,92;
;;;-0,00002356;4,92;
;;;-0,00002354;4,92;
;;;-0,00002352;4,96;
;;;-0,0000235;4,92;
;;;-0,00002348;4,96;
;;;-0,00002346;4,92;
;;;-0,00002344;4,96;
;;;-0,00002342;4,96;
;;;-0,0000234;4,92;
;;;-0,00002338;4,92;
;;;-0,00002336;4,92;
;;;-0,00002334;4,88;
;;;-0,00002332;4,96;
;;;-0,0000233;5;
;;;-0,00002328;4,88;
;;;-0,00002326;4,88;
;;;-0,00002324;4,92;
;;;-0,00002322;4,92;
;;;-0,0000232;4,96;
;;;-0,00002318;4,96;
;;;-0,00002316;4,92;
;;;-0,00002314;4,96;
;;;-0,00002312;4,92;
;;;-0,0000231;4,92;
;;;-0,00002308;4,96;
;;;-0,00002306;4,92;
;;;-0,00002304;4,92;
;;;-0,00002302;4,92;
;;;-0,000023;4,96;
;;;-0,00002298;4,92;
;;;-0,00002296;4,96;
;;;-0,00002294;4,92;
;;;-0,00002292;4,96;
;;;-0,0000229;4,92;
;;;-0,00002288;4,96;
;;;-0,00002286;4,88;
;;;-0,00002284;4,92;
;;;-0,00002282;4,96;
;;;-0,0000228;4,92;
;;;-0,00002278;4,96;
;;;-0,00002276;4,92;
;;;-0,00002274;4,92;
;;;-0,00002272;4,92;
;;;-0,0000227;4,96;
;;;-0,00002268;4,92;
;;;-0,00002266;4,92;
;;;-0,00002264;4,92;
;;;-0,00002262;4,92;
;;;-0,0000226;4,92;
;;;-0,00002258;4,96;
;;;-0,00002256;4,96;
;;;-0,00002254;5;
;;;-0,00002252;4,88;
;;;-0,0000225;4,88;
;;;-0,00002248;4,92;
;;;-0,00002246;4,92;
;;;-0,00002244;4,92;
;;;-0,00002242;4,92;
;;;-0,0000224;4,92;
;;;-0,00002238;4,92;
;;;-0,00002236;4,88;
;;;-0,00002234;4,96;
;;;-0,00002232;4,88;
;;;-0,0000223;4,88;
;;;-0,00002228;4,92;
;;;-0,00002226;4,92;
;;;-0,00002224;4,92;
;;;-0,00002222;4,92;
;;;-0,0000222;4,88;
;;;-0,00002218;4,92;
;;;-0,00002216;4,92;
;;;-0,00002214;4,88;
;;;-0,00002212;4,92;
;;;-0,0000221;4,88;
;;;-0,00002208;4,88;
;;;-0,00002206;4,88;
;;;-0,00002204;4,96;
;;;-0,00002202;4,92;
;;;-0,000022;4,92;
;;;-0,00002198;4,96;
;;;-0,00002196;4,88;
;;;-0,00002194;4,92;
;;;-0,00002192;4,92;
;;;-0,0000219;4,88;
;;;-0,00002188;4,92;
;;;-0,00002186;4,92;
;;;-0,00002184;4,92;
;;;-0,00002182;4,92;
;;;-0,0000218;4,92;
;;;-0,00002178;4,96;
;;;-0,00002176;4,88;
;;;-0,00002174;4,88;
;;;-0,00002172;4,88;
;;;-0,0000217;4,92;
;;;-0,00002168;4,88;
;;;-0,00002166;4,92;
;;;-0,00002164;4,92;
;;;-0,00002162;4,88;
;;;-0,0000216;4,88;
;;;-0,00002158;4,92;
;;;-0,00002156;4,92;
;;;-0,00002154;4,96;
;;;-0,00002152;4,88;
;;;-0,0000215;4,92;
;;;-0,00002148;4,92;
;;;-0,00002146;4,92;
;;;-0,00002144;4,88;
;;;-0,00002142;4,88;
;;;-0,0000214;4,88;
;;;-0,00002138;4,92;
;;;-0,00002136;4,92;
;;;-0,00002134;4,92;
;;;-0,00002132;4,84;
;;;-0,0000213;4,88;
;;;-0,00002128;4,84;
;;;-0,00002126;4,84;
;;;-0,00002124;4,92;
;;;-0,00002122;4,92;
;;;-0,0000212;4,92;
;;;-0,00002118;4,88;
;;;-0,00002116;4,88;
;;;-0,00002114;4,88;
;;;-0,00002112;4,88;
;;;-0,0000211;4,88;
;;;-0,00002108;4,88;
;;;-0,00002106;4,88;
;;;-0,00002104;4,92;
;;;-0,00002102;4,88;
