;;;t;Vin;Vout
;;;-0,0001714;0,8704;0,08266
;;;-0,0001712;0,8432;0,08134
;;;-0,000171;0,8432;0,08003
;;;-0,0001708;0,8704;0,08266
;;;-0,0001706;0,8432;0,07872
;;;-0,0001704;0,816;0,08134
;;;-0,0001702;0,8704;0,08266
;;;-0,00017;0,8432;0,08134
;;;-0,0001698;0,8432;0,08266
;;;-0,0001696;0,8432;0,08003
;;;-0,0001694;0,8704;0,08134
;;;-0,0001692;0,8704;0,08266
;;;-0,000169;0,8432;0,07872
;;;-0,0001688;0,9248;0,08266
;;;-0,0001686;0,8432;0,08134
;;;-0,0001684;0,8976;0,08134
;;;-0,0001682;0,8432;0,08003
;;;-0,000168;0,8976;0,08134
;;;-0,0001678;0,8704;0,07872
;;;-0,0001676;0,8704;0,08003
;;;-0,0001674;0,8704;0,08397
;;;-0,0001672;0,8976;0,08003
;;;-0,000167;0,8704;0,08003
;;;-0,0001668;0,8704;0,07741
;;;-0,0001666;0,8976;0,08134
;;;-0,0001664;0,8976;0,08003
;;;-0,0001662;0,8704;0,07872
;;;-0,000166;0,8704;0,07872
;;;-0,0001658;0,8704;0,07872
;;;-0,0001656;0,816;0,07741
;;;-0,0001654;0,9248;0,07872
;;;-0,0001652;0,8704;0,07741
;;;-0,000165;0,9248;0,07872
;;;-0,0001648;0,8976;0,07872
;;;-0,0001646;0,8704;0,07741
;;;-0,0001644;0,9248;0,0761
;;;-0,0001642;0,8976;0,07872
;;;-0,000164;0,8704;0,07741
;;;-0,0001638;0,9248;0,0761
;;;-0,0001636;0,9248;0,0761
;;;-0,0001634;0,952;0,0761
;;;-0,0001632;0,8704;0,0761
;;;-0,000163;0,8704;0,0761
;;;-0,0001628;0,9248;0,07741
;;;-0,0001626;0,8976;0,0761
;;;-0,0001624;0,9248;0,0761
;;;-0,0001622;0,9248;0,0761
;;;-0,000162;0,952;0,07741
;;;-0,0001618;0,952;0,07478
;;;-0,0001616;0,8704;0,07741
;;;-0,0001614;0,952;0,07085
;;;-0,0001612;0,9248;0,0761
;;;-0,000161;0,9248;0,07478
;;;-0,0001608;0,8432;0,07347
;;;-0,0001606;0,952;0,0761
;;;-0,0001604;0,9248;0,07478
;;;-0,0001602;0,9248;0,07478
;;;-0,00016;0,8976;0,07478
;;;-0,0001598;0,9248;0,07347
;;;-0,0001596;0,9248;0,07347
;;;-0,0001594;0,952;0,07216
;;;-0,0001592;0,9248;0,07216
;;;-0,000159;0,9792;0,07478
;;;-0,0001588;0,952;0,07347
;;;-0,0001586;0,9792;0,07478
;;;-0,0001584;1,0064;0,07085
;;;-0,0001582;0,9248;0,07216
;;;-0,000158;0,9792;0,07347
;;;-0,0001578;0,9248;0,07085
;;;-0,0001576;0,9792;0,07347
;;;-0,0001574;0,952;0,07216
;;;-0,0001572;0,9792;0,07216
;;;-0,000157;0,952;0,07085
;;;-0,0001568;0,9792;0,06822
;;;-0,0001566;0,9248;0,06822
;;;-0,0001564;1,0064;0,06954
;;;-0,0001562;1,0064;0,06822
;;;-0,000156;0,9248;0,07085
;;;-0,0001558;0,9792;0,06954
;;;-0,0001556;0,9248;0,06691
;;;-0,0001554;0,952;0,06822
;;;-0,0001552;0,9792;0,06954
;;;-0,000155;0,9792;0,06954
;;;-0,0001548;0,9792;0,06954
;;;-0,0001546;0,952;0,06954
;;;-0,0001544;0,9792;0,06822
;;;-0,0001542;1,0064;0,06822
;;;-0,000154;1,0064;0,06822
;;;-0,0001538;0,9792;0,06691
;;;-0,0001536;1,0064;0,06954
;;;-0,0001534;0,9248;0,06954
;;;-0,0001532;1,0336;0,06691
