;;;t;Vin;Vout
;;;-0,0000259;0,48;4,96
;;;-0,00002588;0,488;4,96
;;;-0,00002586;0,48;4,92
;;;-0,00002584;0,488;4,96
;;;-0,00002582;0,488;5
;;;-0,0000258;0,48;4,96
;;;-0,00002578;0,496;5
;;;-0,00002576;0,48;5
;;;-0,00002574;0,496;4,96
;;;-0,00002572;0,488;4,92
;;;-0,0000257;0,488;4,92
;;;-0,00002568;0,488;4,96
;;;-0,00002566;0,488;4,92
;;;-0,00002564;0,48;4,92
;;;-0,00002562;0,48;4,96
;;;-0,0000256;0,488;4,96
;;;-0,00002558;0,488;4,96
;;;-0,00002556;0,488;4,92
;;;-0,00002554;0,496;4,96
;;;-0,00002552;0,488;4,96
;;;-0,0000255;0,488;4,96
;;;-0,00002548;0,48;4,96
;;;-0,00002546;0,488;4,96
;;;-0,00002544;0,48;4,96
;;;-0,00002542;0,488;4,96
;;;-0,0000254;0,504;4,92
;;;-0,00002538;0,48;4,92
;;;-0,00002536;0,488;5
;;;-0,00002534;0,496;4,92
;;;-0,00002532;0,488;4,96
;;;-0,0000253;0,496;4,92
;;;-0,00002528;0,48;5
;;;-0,00002526;0,488;4,96
;;;-0,00002524;0,488;4,96
;;;-0,00002522;0,496;4,92
;;;-0,0000252;0,504;4,96
;;;-0,00002518;0,496;4,96
;;;-0,00002516;0,496;5
;;;-0,00002514;0,488;4,96
;;;-0,00002512;0,496;4,96
;;;-0,0000251;0,488;4,92
;;;-0,00002508;0,488;4,92
;;;-0,00002506;0,488;4,96
;;;-0,00002504;0,496;5
;;;-0,00002502;0,488;4,96
;;;-0,000025;0,504;5
;;;-0,00002498;0,488;4,96
;;;-0,00002496;0,504;4,96
;;;-0,00002494;0,488;4,96
;;;-0,00002492;0,488;4,96
;;;-0,0000249;0,496;5
;;;-0,00002488;0,488;4,96
;;;-0,00002486;0,496;4,96
;;;-0,00002484;0,488;4,96
;;;-0,00002482;0,488;4,96
;;;-0,0000248;0,504;4,96
;;;-0,00002478;0,496;4,92
;;;-0,00002476;0,488;4,96
;;;-0,00002474;0,504;4,92
;;;-0,00002472;0,496;4,96
;;;-0,0000247;0,504;4,96
;;;-0,00002468;0,488;4,96
;;;-0,00002466;0,488;4,92
;;;-0,00002464;0,504;5
;;;-0,00002462;0,488;4,96
;;;-0,0000246;0,496;4,96
;;;-0,00002458;0,488;4,92
;;;-0,00002456;0,496;4,92
;;;-0,00002454;0,496;4,96
;;;-0,00002452;0,488;4,96
;;;-0,0000245;0,496;4,96
;;;-0,00002448;0,496;4,96
;;;-0,00002446;0,496;4,92
;;;-0,00002444;0,504;5
;;;-0,00002442;0,504;4,96
;;;-0,0000244;0,496;4,92
;;;-0,00002438;0,496;4,96
;;;-0,00002436;0,496;4,96
;;;-0,00002434;0,496;4,96
;;;-0,00002432;0,488;4,96
;;;-0,0000243;0,496;4,92
;;;-0,00002428;0,504;4,92
;;;-0,00002426;0,504;4,96
;;;-0,00002424;0,496;4,96
;;;-0,00002422;0,496;4,96
;;;-0,0000242;0,504;4,96
;;;-0,00002418;0,504;4,92
;;;-0,00002416;0,504;4,92
;;;-0,00002414;0,496;4,92
;;;-0,00002412;0,488;4,96
;;;-0,0000241;0,488;4,96
;;;-0,00002408;0,496;4,96
;;;-0,00002406;0,496;4,92
;;;-0,00002404;0,504;4,96
;;;-0,00002402;0,496;5
;;;-0,000024;0,496;4,92
;;;-0,00002398;0,496;4,92
;;;-0,00002396;0,504;4,96
;;;-0,00002394;0,504;4,96
;;;-0,00002392;0,504;4,96
;;;-0,0000239;0,496;4,96
;;;-0,00002388;0,496;4,92
;;;-0,00002386;0,504;4,96
;;;-0,00002384;0,496;4,96
;;;-0,00002382;0,504;4,96
;;;-0,0000238;0,512;4,92
;;;-0,00002378;0,496;4,92
;;;-0,00002376;0,504;4,96
;;;-0,00002374;0,504;4,92
;;;-0,00002372;0,512;4,92
