;;;t;Vin;Vout
Record Length;2,50E+03;;-0,000204;0,52;   0.00900
Sample Interval;2,00E-07;;-0,0002038;0,52;   0.00780
Trigger Point;1,02E+03;;-0,0002036;0,56;   0.00800
;;;-0,0002034;0,56;   0.00860
;;;-0,0002032;0,52;   0.00820
;;;-0,000203;0,52;   0.00840
Source;CH1;;-0,0002028;0,52;   0.00800
Vertical Units;V;;-0,0002026;0,56;   0.00860
Vertical Scale;1,00E+00;;-0,0002024;0,56;   0.00860
Vertical Offset;-2,08E+00;;-0,0002022;0,56;   0.00780
Horizontal Units;s;;-0,000202;0,52;   0.00880
Horizontal Scale;5,00E-05;;-0,0002018;0,56;   0.00900
Pt Fmt;Y;;-0,0002016;0,56;   0.00760
Yzero;0,00E+00;;-0,0002014;0,6;   0.00840
Probe Atten;1,00E+00;;-0,0002012;0,52;   0.00880
Model Number;TBS1072B-EDU;;-0,000201;0,56;   0.00900
Serial Number;C015526;;-0,0002008;0,6;   0.00780
Firmware Version;FV:v4,06;;-0,0002006;0,52;   0.00820
;;;-0,0002004;0,56;   0.00920
;;;-0,0002002;0,52;   0.00820
;;;-0,0002;0,52;   0.00880
;;;-0,0001998;0,6;   0.00780
;;;-0,0001996;0,52;   0.00860
;;;-0,0001994;0,6;   0.00840
;;;-0,0001992;0,56;   0.00800
;;;-0,000199;0,56;   0.00780
;;;-0,0001988;0,56;   0.00840
;;;-0,0001986;0,6;   0.00800
;;;-0,0001984;0,56;   0.00820
;;;-0,0001982;0,6;   0.00820
;;;-0,000198;0,56;   0.00860
;;;-0,0001978;0,6;   0.00840
;;;-0,0001976;0,56;   0.00860
;;;-0,0001974;0,64;   0.00840
;;;-0,0001972;0,6;   0.00860
;;;-0,000197;0,6;   0.00900
;;;-0,0001968;0,56;   0.00760
;;;-0,0001966;0,6;   0.00880
;;;-0,0001964;0,6;   0.00960
;;;-0,0001962;0,64;   0.00900
;;;-0,000196;0,64;   0.00880
;;;-0,0001958;0,6;   0.00840
;;;-0,0001956;0,6;   0.00800
;;;-0,0001954;0,6;   0.00820
;;;-0,0001952;0,64;   0.00780
;;;-0,000195;0,56;   0.00960
;;;-0,0001948;0,6;   0.00800
;;;-0,0001946;0,6;   0.00760
;;;-0,0001944;0,6;   0.00960
;;;-0,0001942;0,6;   0.00880
;;;-0,000194;0,64;   0.00880
;;;-0,0001938;0,64;   0.00800
;;;-0,0001936;0,6;   0.00840
;;;-0,0001934;0,6;   0.00820
;;;-0,0001932;0,6;   0.00800
;;;-0,000193;0,56;   0.00840
;;;-0,0001928;0,6;   0.00860
;;;-0,0001926;0,68;   0.00880
;;;-0,0001924;0,6;   0.00760
;;;-0,0001922;0,64;   0.00700
;;;-0,000192;0,64;   0.00960
;;;-0,0001918;0,6;   0.00960
;;;-0,0001916;0,6;   0.00700
;;;-0,0001914;0,6;   0.00860
;;;-0,0001912;0,64;   0.00820
;;;-0,000191;0,6;   0.00800
;;;-0,0001908;0,68;   0.00720
;;;-0,0001906;0,68;   0.00800
;;;-0,0001904;0,68;   0.00760
