;;;t;Vin;Vout
;;;-0,0002038;3,78;-1,072
;;;-0,0002036;3,78;-1,072
;;;-0,0002034;3,78;-1,056
;;;-0,0002032;3,78;-1,072
;;;-0,000203;3,78;-1,056
;;;-0,0002028;3,78;-1,056
;;;-0,0002026;3,78;-1,056
;;;-0,0002024;3,78;-1,056
;;;-0,0002022;3,78;-1,056
;;;-0,000202;3,78;-1,056
;;;-0,0002018;3,78;-1,056
;;;-0,0002016;3,752;-1,056
;;;-0,0002014;3,752;-1,056
;;;-0,0002012;3,752;-1,056
;;;-0,000201;3,752;-1,056
;;;-0,0002008;3,752;-1,056
;;;-0,0002006;3,752;-1,056
;;;-0,0002004;3,752;-1,056
;;;-0,0002002;3,752;-1,056
;;;-0,0002;3,752;-1,04
;;;-0,0001998;3,752;-1,056
;;;-0,0001996;3,752;-1,04
;;;-0,0001994;3,752;-1,04
;;;-0,0001992;3,752;-1,04
;;;-0,000199;3,752;-1,04
;;;-0,0001988;3,752;-1,04
;;;-0,0001986;3,752;-1,04
;;;-0,0001984;3,752;-1,04
;;;-0,0001982;3,724;-1,04
;;;-0,000198;3,724;-1,04
;;;-0,0001978;3,724;-1,04
;;;-0,0001976;3,724;-1,04
;;;-0,0001974;3,724;-1,04
;;;-0,0001972;3,724;-1,04
;;;-0,000197;3,724;-1,04
;;;-0,0001968;3,724;-1,04
;;;-0,0001966;3,724;-1,04
;;;-0,0001964;3,724;-1,024
;;;-0,0001962;3,724;-1,024
;;;-0,000196;3,724;-1,024
;;;-0,0001958;3,724;-1,024
;;;-0,0001956;3,696;-1,024
;;;-0,0001954;3,724;-1,024
;;;-0,0001952;3,724;-1,024
;;;-0,000195;3,724;-1,024
;;;-0,0001948;3,696;-1,024
;;;-0,0001946;3,696;-1,024
;;;-0,0001944;3,696;-1,024
;;;-0,0001942;3,696;-1,024
;;;-0,000194;3,696;-1,024
;;;-0,0001938;3,696;-1,024
;;;-0,0001936;3,696;-1,024
;;;-0,0001934;3,696;-1,008
;;;-0,0001932;3,696;-1,008
;;;-0,000193;3,696;-1,008
;;;-0,0001928;3,696;-1,008
;;;-0,0001926;3,696;-1,008
;;;-0,0001924;3,696;-1,008
;;;-0,0001922;3,696;-1,008
;;;-0,000192;3,696;-1,008
;;;-0,0001918;3,696;-1,008
;;;-0,0001916;3,696;-1,008
;;;-0,0001914;3,668;-1,008
;;;-0,0001912;3,668;-1,008
;;;-0,000191;3,696;-1,008
;;;-0,0001908;3,668;-1,008
;;;-0,0001906;3,668;-1,008
;;;-0,0001904;3,668;-0,992
;;;-0,0001902;3,668;-1,008
;;;-0,00019;3,668;-1,008
;;;-0,0001898;3,668;-0,992
;;;-0,0001896;3,668;-0,992
;;;-0,0001894;3,668;-0,992
;;;-0,0001892;3,668;-0,992
;;;-0,000189;3,668;-0,992
;;;-0,0001888;3,64;-0,992
;;;-0,0001886;3,668;-0,992
;;;-0,0001884;3,668;-0,992
;;;-0,0001882;3,668;-0,992
;;;-0,000188;3,64;-0,992
;;;-0,0001878;3,64;-0,992
;;;-0,0001876;3,64;-0,992
;;;-0,0001874;3,64;-0,992
;;;-0,0001872;3,64;-0,976
;;;-0,000187;3,64;-0,976
;;;-0,0001868;3,64;-0,976
;;;-0,0001866;3,64;-0,976
;;;-0,0001864;3,64;-0,976
;;;-0,0001862;3,64;-0,976
;;;-0,000186;3,64;-0,976
;;;-0,0001858;3,64;-0,976
;;;-0,0001856;3,64;-0,976
;;;-0,0001854;3,64;-0,976
;;;-0,0001852;3,64;-0,976
;;;-0,000185;3,64;-0,976
;;;-0,0001848;3,64;-0,976
;;;-0,0001846;3,612;-0,976
;;;-0,0001844;3,612;-0,976
;;;-0,0001842;3,64;-0,976
;;;-0,000184;3,612;-0,976
;;;-0,0001838;3,612;-0,976
;;;-0,0001836;3,612;-0,96
;;;-0,0001834;3,612;-0,96
;;;-0,0001832;3,612;-0,96
;;;-0,000183;3,612;-0,96
;;;-0,0001828;3,612;-0,96
;;;-0,0001826;3,612;-0,96
;;;-0,0001824;3,612;-0,96
;;;-0,0001822;3,612;-0,96
;;;-0,000182;3,612;-0,96
;;;-0,0001818;3,612;-0,96
;;;-0,0001816;3,612;-0,96
;;;-0,0001814;3,612;-0,96
;;;-0,0001812;3,612;-0,96
;;;-0,000181;3,612;-0,96
;;;-0,0001808;3,584;-0,96
;;;-0,0001806;3,584;-0,96
;;;-0,0001804;3,584;-0,944
;;;-0,0001802;3,584;-0,944
;;;-0,00018;3,584;-0,944
;;;-0,0001798;3,584;-0,944
;;;-0,0001796;3,584;-0,944
;;;-0,0001794;3,584;-0,944
;;;-0,0001792;3,584;-0,944
;;;-0,000179;3,584;-0,944
;;;-0,0001788;3,584;-0,944
;;;-0,0001786;3,584;-0,944
;;;-0,0001784;3,584;-0,944
;;;-0,0001782;3,584;-0,944
;;;-0,000178;3,584;-0,944
;;;-0,0001778;3,584;-0,944
;;;-0,0001776;3,556;-0,944
;;;-0,0001774;3,556;-0,928
;;;-0,0001772;3,556;-0,944
;;;-0,000177;3,556;-0,928
;;;-0,0001768;3,556;-0,928
;;;-0,0001766;3,556;-0,928
;;;-0,0001764;3,556;-0,928
;;;-0,0001762;3,556;-0,928
;;;-0,000176;3,556;-0,928
;;;-0,0001758;3,556;-0,928
;;;-0,0001756;3,556;-0,928
;;;-0,0001754;3,556;-0,928
;;;-0,0001752;3,556;-0,928
;;;-0,000175;3,556;-0,928
;;;-0,0001748;3,556;-0,928
;;;-0,0001746;3,556;-0,928
;;;-0,0001744;3,528;-0,928
;;;-0,0001742;3,528;-0,928
;;;-0,000174;3,528;-0,912
;;;-0,0001738;3,528;-0,912
;;;-0,0001736;3,556;-0,912
;;;-0,0001734;3,528;-0,912
;;;-0,0001732;3,528;-0,912
;;;-0,000173;3,528;-0,912
;;;-0,0001728;3,528;-0,912
;;;-0,0001726;3,528;-0,912
;;;-0,0001724;3,528;-0,912
;;;-0,0001722;3,528;-0,912
;;;-0,000172;3,528;-0,912
;;;-0,0001718;3,528;-0,912
;;;-0,0001716;3,528;-0,912
;;;-0,0001714;3,528;-0,912
;;;-0,0001712;3,528;-0,912
;;;-0,000171;3,528;-0,912
;;;-0,0001708;3,5;-0,896
;;;-0,0001706;3,528;-0,912
;;;-0,0001704;3,528;-0,912
;;;-0,0001702;3,5;-0,896
;;;-0,00017;3,5;-0,896
;;;-0,0001698;3,5;-0,896
;;;-0,0001696;3,5;-0,896
;;;-0,0001694;3,5;-0,896
;;;-0,0001692;3,5;-0,896
;;;-0,000169;3,5;-0,896
;;;-0,0001688;3,5;-0,896
;;;-0,0001686;3,5;-0,896
;;;-0,0001684;3,5;-0,896
;;;-0,0001682;3,5;-0,896
;;;-0,000168;3,5;-0,896
;;;-0,0001678;3,5;-0,896
;;;-0,0001676;3,5;-0,88
;;;-0,0001674;3,472;-0,88
;;;-0,0001672;3,5;-0,896
;;;-0,000167;3,472;-0,88
;;;-0,0001668;3,472;-0,88
;;;-0,0001666;3,472;-0,88
;;;-0,0001664;3,472;-0,88
;;;-0,0001662;3,472;-0,88
;;;-0,000166;3,472;-0,88
;;;-0,0001658;3,472;-0,88
;;;-0,0001656;3,472;-0,88
;;;-0,0001654;3,472;-0,88
;;;-0,0001652;3,472;-0,88
;;;-0,000165;3,472;-0,88
;;;-0,0001648;3,472;-0,88
;;;-0,0001646;3,472;-0,864
;;;-0,0001644;3,472;-0,864
;;;-0,0001642;3,472;-0,864
;;;-0,000164;3,472;-0,864
;;;-0,0001638;3,472;-0,864
;;;-0,0001636;3,444;-0,864
;;;-0,0001634;3,444;-0,864
;;;-0,0001632;3,444;-0,864
;;;-0,000163;3,444;-0,864
;;;-0,0001628;3,444;-0,864
;;;-0,0001626;3,444;-0,864
;;;-0,0001624;3,444;-0,864
